,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
143,stations,{'all': 8},200,"{'lon': -24.5, 'lat': 14.9}",1512866832.0,3374210.0,"{'temp': 76.69, 'pressure': 1016.86, 'humidity': 94, 'temp_min': 76.69, 'temp_max': 76.69, 'sea_level': 1028.61, 'grnd_level': 1016.86}",,Sao Filipe,,"{'message': 0.165, 'country': 'CV', 'sunrise': 1512892375, 'sunset': 1512932934}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 13.76, 'deg': 67.0023}"
144,stations,{'all': 8},200,"{'lon': -13.05, 'lat': 20.52}",1512866833.0,2381334.0,"{'temp': 60.22, 'pressure': 1002.83, 'humidity': 34, 'temp_min': 60.22, 'temp_max': 60.22, 'sea_level': 1033.8, 'grnd_level': 1002.83}",,Atar,,"{'message': 0.1687, 'country': 'MR', 'sunrise': 1512890253, 'sunset': 1512929557}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 11.07, 'deg': 67.5023}"
145,stations,{'all': 92},200,"{'lon': -46.05, 'lat': 60.92}",1512863400.0,3421719.0,"{'temp': 46.4, 'pressure': 993, 'humidity': 33, 'temp_min': 46.4, 'temp_max': 46.4}",,Narsaq,,"{'type': 1, 'id': 4791, 'message': 0.2517, 'country': 'GL', 'sunrise': 1512907458, 'sunset': 1512928186}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 20.8, 'deg': 60, 'gust': 14.4}"
146,stations,{'all': 92},200,"{'lon': -73.82, 'lat': -41.87}",1512866836.0,3899695.0,"{'temp': 55.13, 'pressure': 1027.15, 'humidity': 87, 'temp_min': 55.13, 'temp_max': 55.13, 'sea_level': 1034.53, 'grnd_level': 1027.15}",,Ancud,,"{'message': 0.0078, 'country': 'CL', 'sunrise': 1512897221, 'sunset': 1512951787}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 7.94, 'deg': 298.002}"
147,,,404,,,,,city not found,,,,,,
148,stations,{'all': 80},200,"{'lon': 55.92, 'lat': 56}",1512866838.0,488881.0,"{'temp': 15.31, 'pressure': 1011.18, 'humidity': 86, 'temp_min': 15.31, 'temp_max': 15.31, 'sea_level': 1031.29, 'grnd_level': 1011.18}",,Starobaltachevo,,"{'message': 0.166, 'country': 'RU', 'sunrise': 1512880572, 'sunset': 1512906112}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 12.75, 'deg': 323.002}"
149,,,404,,,,,city not found,,,,,,
150,stations,{'all': 90},200,"{'lon': -135.33, 'lat': 57.05}",1512863760.0,5557293.0,"{'temp': 47.88, 'pressure': 1007, 'humidity': 81, 'temp_min': 46.4, 'temp_max': 50}",,Sitka,,"{'type': 1, 'id': 160, 'message': 0.1661, 'country': 'US', 'sunrise': 1512926941, 'sunset': 1512951572}",8047.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 18.34, 'deg': 120, 'gust': 11.3}"
151,stations,{'all': 90},200,"{'lon': -133.72, 'lat': 68.35}",1512864000.0,5983607.0,"{'temp': 4.26, 'pressure': 1018, 'humidity': 77, 'temp_min': -0.41, 'temp_max': 6.8}",,Inuvik,,"{'type': 1, 'id': 3535, 'message': 0.166, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",{'speed': 2.24}
152,stations,{'all': 20},200,"{'lon': -25.67, 'lat': 37.73}",1512865800.0,3372783.0,"{'temp': 66.2, 'pressure': 1030, 'humidity': 93, 'temp_min': 66.2, 'temp_max': 66.2}",,Ponta Delgada,,"{'type': 1, 'id': 5957, 'message': 0.1703, 'country': 'PT', 'sunrise': 1512895629, 'sunset': 1512930237}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 10.29, 'deg': 250}"
